\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{K*\chi}{c*\mu},S=\Pi_{Stall}=\ln\left(\frac{\lambda*W}{K}\right),\Pi_{Stall},\Pi_{Occ},\Pi_{Eff}
138020.0122594802,1.877421913770307,1.0,4.5,2.130106538313035,0.47335700851400775,2.3969039495032507,30671.113835440043,30671.113835440043,0.47335700851400775,2.3969039495032507
919658.2509926581,0.3746986656283193,1.0,5.0,0.19416437009129492,0.03883287401825899,13.344056060663231,183931.65019853163,183931.65019853163,0.03883287401825899,13.344056060663231
93991.076827127,0.7768046079966686,1.0,10.0,2.751445130329334,0.2751445130329334,12.873250103123597,9399.107682712702,9399.107682712702,0.2751445130329334,12.873250103123597
26436.182660495997,0.8229818317150246,1.0,6.0,2.2443202796444033,0.37405337994073384,7.290561916168317,4406.030443415999,4406.030443415999,0.37405337994073384,7.290561916168317
430335.72931807203,0.4141785345301103,1.0,5.5,0.21636837540657902,0.039339704619378,13.279297552780722,78242.8598760131,78242.8598760131,0.039339704619378,13.279297552780722
1280421.6809931945,0.2902849397549534,1.0,6.0,0.14826588885313266,0.024710981475522108,20.669346487850706,213403.61349886574,213403.61349886574,0.024710981475522108,20.669346487850706
1482420.5045743808,0.4077057774112971,1.0,6.0,0.21269148539843416,0.03544858089973903,14.716494914780538,247070.08409573013,247070.08409573013,0.03544858089973903,14.716494914780538
90821.15818230384,0.7896845900506511,1.0,11.0,3.0049598585448822,0.2731781689586257,13.929612073719776,8256.468925663987,8256.468925663987,0.2731781689586257,13.929612073719776
490551.1276312494,0.3721221085399344,1.0,7.5,0.1927332312226442,0.025697764163019228,20.154674575577214,65406.81701749992,65406.81701749992,0.025697764163019228,20.154674575577214
116775.22536829242,0.7166634097465086,1.0,14.0,2.427332699218535,0.1733809070870382,19.534972498389372,8341.087526306601,8341.087526306601,0.1733809070870382,19.534972498389372
156269.12851948303,0.683517800295788,1.0,13.0,2.0913850126618496,0.16087577020475768,19.01925596432797,12020.702193806388,12020.702193806388,0.16087577020475768,19.01925596432797
1369010.1104353142,0.5478932085669913,1.0,4.0,0.2961135351022522,0.07402838377556305,7.300692794608563,342252.52760882856,342252.52760882856,0.07402838377556305,7.300692794608563
304878.5278176438,0.41008156395811446,1.0,12.0,0.6950290225776905,0.05791908521480754,29.26247130979454,25406.543984803648,25406.543984803648,0.05791908521480754,29.26247130979454
31630.237878018972,0.07214063731998507,1.0,6.0,0.07774946740484846,0.012958244567474743,83.1708759847319,5271.706313003162,5271.706313003162,0.012958244567474743,83.1708759847319
228685.7066250938,0.3809369308024262,1.0,14.0,0.6153365571124221,0.04395261122231586,36.751490517103825,16334.693330363842,16334.693330363842,0.04395261122231586,36.751490517103825
270143.28352580895,0.36066532684309877,1.0,13.0,0.5641172010212379,0.04339363084778753,36.04449619204849,20780.25257890838,20780.25257890838,0.04339363084778753,36.04449619204849
153657.10650847014,0.4190011878598376,1.0,6.0,0.7052668295912241,0.11754447159853734,14.319768472845222,25609.517751411688,25609.517751411688,0.11754447159853734,14.319768472845222
92634.04842071582,0.537936228281114,1.0,8.0,1.1301264641846438,0.14126580802308047,14.871651283949909,11579.256052589477,11579.256052589477,0.14126580802308047,14.871651283949909
472573.33657042205,0.23841033395766167,1.0,3.5,0.12092318649235835,0.03454948185495953,14.680571692926494,135020.95330583488,135020.95330583488,0.03454948185495953,14.680571692926494
35521.26357420773,1.6370897416561299,1.0,15.0,6.422107280105117,0.42814048534034116,9.162600936479842,2368.0842382805154,2368.0842382805154,0.42814048534034116,9.162600936479842
177649.21471142,0.20489319493786334,1.0,7.0,0.2576678200989545,0.03680968858556493,34.16414099122641,25378.45924448857,25378.45924448857,0.03680968858556493,34.16414099122641
1589802.6145441006,0.43768000854395556,1.0,8.0,0.22984762471361989,0.028730953089202486,18.278193757612698,198725.32681801257,198725.32681801257,0.028730953089202486,18.278193757612698
