\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{\chi}{\mu},S=\Pi_{Stall}=\ln\left(\frac{\lambda*W}{K}\right),\Pi_{Occ},\Pi_{Eff},\Pi_{Stall}
200645.4216692024,0.7576903419556645,1.0,5.5,0.4422556638356734,0.07734071043909317,0.5640006415158476,10.504546465726603,0.07734071043909317,0.5640006415158476,10.504546465726603
915172.3340983142,0.48122411642040136,1.0,1.5,0.245059524368868,0.15132355835061678,0.3928688516020651,13.321402561693612,0.15132355835061678,0.3928688516020651,13.321402561693612
1662515.7908644145,0.3780615586585125,1.0,4.0,0.19603335834630226,0.04784527941742584,0.3206778440599464,12.937548188613864,0.04784527941742584,0.3206778440599464,12.937548188613864
102764.94057454255,1.6655061721242053,1.0,3.5,1.443155275964306,0.3452408786405996,0.9803939728376321,10.287436560378099,0.3452408786405996,0.9803939728376321,10.287436560378099
1653996.8395933472,0.31510977377274746,1.0,6.0,0.16156551489324944,0.026571418056883567,0.2739201402998012,12.52694577457371,0.026571418056883567,0.2739201402998012,12.52694577457371
68012.54199525435,0.9947273040742132,1.0,10.0,4.489790459202622,0.37085920217136215,0.6905073513118289,8.824862315410742,0.37085920217136215,0.6905073513118289,8.824862315410742
93734.83473064247,0.48373588123428485,1.0,2.5,0.2559602366223524,0.09747519324224184,0.39456315130036596,10.531934436027,0.09747519324224184,0.39456315130036596,10.531934436027
558106.4536493733,0.6363929365827994,1.0,2.0,0.34220895894150255,0.15794730306995444,0.4924943906269777,12.539157819760854,0.15794730306995444,0.4924943906269777,12.539157819760854
100248.20316333651,2.2799482500454853,1.0,2.0,0.9658194566170026,0.39400619030409295,1.1878276448464307,10.822257240910451,0.39400619030409295,1.1878276448464307,10.822257240910451
262845.4745689885,0.2188937339251382,1.0,7.0,0.2801933713359184,0.03924727479720979,0.19794367190439072,10.533411440289223,0.03924727479720979,0.19794367190439072,10.533411440289223
672452.9964150571,0.3127667675185265,1.0,4.5,0.16030365921031706,0.03500321215893844,0.2721369462735526,11.914610097439256,0.03500321215893844,0.2721369462735526,11.914610097439256
142763.1095390227,0.21215940739238076,1.0,4.0,0.10728698019626667,0.026468347282882103,0.19240340324970595,10.482647597859646,0.026468347282882103,0.19240340324970595,10.482647597859646
67846.90762947299,0.6928474886760304,1.0,10.0,2.057948457727483,0.18713897253488015,0.526412015617769,8.822423994803994,0.18713897253488015,0.526412015617769,8.822423994803994
154144.89310903288,0.08672196405714093,1.0,3.0,0.09473054820357167,0.031088553324219177,0.08316579258494661,10.84703601475606,0.031088553324219177,0.08316579258494661,10.84703601475606
174471.22912573244,0.5452100263315373,1.0,10.0,1.184880952225595,0.11197785837111804,0.4351598404839528,9.766930038024034,0.11197785837111804,0.4351598404839528,9.766930038024034
625925.0807866235,0.5309687318953662,1.0,2.0,0.2806124380203197,0.1312968395031534,0.4259006931458684,12.653838783108757,0.1312968395031534,0.4259006931458684,12.653838783108757
1620791.1681130065,0.3780324779599683,1.0,6.0,0.1960194489054036,0.03214759226699314,0.32065674122516724,12.506665494146171,0.03214759226699314,0.32065674122516724,12.506665494146171
514694.6805464232,0.27994403415064945,1.0,6.0,0.3878376270758394,0.06263634237270288,0.2468163536558285,11.359569681314548,0.06263634237270288,0.2468163536558285,11.359569681314548
868480.9898132164,0.5626760600378568,1.0,1.5,0.2868539410339473,0.1749913905563217,0.446399774704911,13.269035867789054,0.1749913905563217,0.446399774704911,13.269035867789054
249781.2222181634,0.09901601821617664,1.0,8.0,0.10989763724962687,0.013643704573702722,0.09441525058021306,10.348899160935947,0.013643704573702722,0.09441525058021306,10.348899160935947
