\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{\chi}{\mu},S=\Pi_{Stall}=\ln(\frac{\lambda*W}{K}),\Pi_{Occ},\Pi_{Eff},\Pi_{Stall}
217184.84525409414,0.14778859857819998,1.0,8.0,0.0038749387116793436,0.00048436733895991795,0.14778859857819998,10.209099384000433,0.00048436733895991795,0.14778859857819998,10.209099384000433
1438799.122407779,4.426864732567134,1.0,6.0,1.1037187007457312,0.1839531167909552,4.426864732567134,12.387564081763667,0.1839531167909552,4.426864732567134,12.387564081763667
267811.46732163295,0.2511833148215108,1.0,4.5,0.0011803902597817327,0.0002623089466181628,0.2511833148215108,10.993977937739386,0.0002623089466181628,0.2511833148215108,10.993977937739386
78666.64949533381,0.33328384338493333,1.0,11.0,1.9610233217298747,0.17827484742998861,0.33328384338493333,8.875219125025206,0.17827484742998861,0.33328384338493333,8.875219125025206
330522.6392292995,0.4776302500545938,1.0,3.0,0.04265988692570518,0.014219962308568392,0.4776302500545938,11.609827223690012,0.014219962308568392,0.4776302500545938,11.609827223690012
181820302.08671278,1.9054568233561469,1.0,7.0,0.0003707971363951932,5.2971019485027596e-05,1.9054568233561469,17.07261929556115,5.2971019485027596e-05,1.9054568233561469,17.07261929556115
26730147.91205926,0.7488063380782751,1.0,6.0,0.03268708716827495,0.0054478478613791586,0.7488063380782751,15.309543376897377,0.0054478478613791586,0.7488063380782751,15.309543376897377
36337011.881481424,0.3970677174816056,1.0,10.0,0.0021869023506863377,0.00021869023506863378,0.3970677174816056,15.10576257305229,0.00021869023506863378,0.3970677174816056,15.10576257305229
2355431.5702733197,0.3651056460541018,1.0,3.5,0.0001240144377776261,3.5432696507893165e-05,0.3651056460541018,13.419473043090207,3.5432696507893165e-05,0.3651056460541018,13.419473043090207
753857.1688057741,0.21585767115885393,1.0,2.5,0.03637758997413625,0.014551035989654501,0.21585767115885393,12.616670782152063,0.014551035989654501,0.21585767115885393,12.616670782152063
1188361.274111383,0.5677941988414543,1.0,9.0,0.30891550098539994,0.034323944553933325,0.5677941988414543,11.790868831551775,0.034323944553933325,0.5677941988414543,11.790868831551775
840331.3175089489,0.47538900349975316,1.0,2.0,0.08014016193818992,0.04007008096909496,0.47538900349975316,12.948406718110922,0.04007008096909496,0.47538900349975316,12.948406718110922
355310.07723929983,0.30246879211712907,1.0,2.5,0.012823983500858106,0.005129593400343243,0.30246879211712907,11.864462448436948,0.005129593400343243,0.30246879211712907,11.864462448436948
216782.4368204777,0.3345059932153302,1.0,9.0,0.011629026351227258,0.0012921140390252507,0.3345059932153302,10.089466472370813,0.0012921140390252507,0.3345059932153302,10.089466472370813
14596033.86031736,0.4480472263950683,1.0,3.0,0.0006877084719483806,0.00022923615731612688,0.4480472263950683,15.39764831323833,0.00022923615731612688,0.4480472263950683,15.39764831323833
337355421.7032592,0.5545364827525493,1.0,8.0,2.092750450730181,0.2615938063412726,0.5545364827525493,17.55720607839141,0.2615938063412726,0.5545364827525493,17.55720607839141
2523929.8777507017,0.3665216164896723,1.0,10.0,1.224752180221562,0.1224752180221562,0.3665216164896723,12.438746589139935,0.1224752180221562,0.3665216164896723,12.438746589139935
924518.3073280383,0.0704248354078339,1.0,4.0,1.1037187007457312,0.2759296751864328,0.0704248354078339,12.350738097471378,0.2759296751864328,0.0704248354078339,12.350738097471378
68469618.76801491,0.3402652222945908,1.0,4.5,0.18300012261144824,0.04066669391365516,0.3402652222945908,16.537823352159126,0.04066669391365516,0.3402652222945908,16.537823352159126
714728.8105271136,0.805344074342617,1.0,5.5,1.659677382593889e-05,3.0175952410797982e-06,0.805344074342617,11.774918066711312,3.0175952410797982e-06,0.805344074342617,11.774918066711312
719295.4659037791,1.5281377872813915,1.0,4.5,0.06407715570567346,0.014239367934594101,1.5281377872813915,11.981956351677225,0.014239367934594101,1.5281377872813915,11.981956351677225
89903884.95950261,3.9608276932128605,1.0,2.0,0.008283470288565745,0.004141735144282873,3.9608276932128605,17.621104554426683,0.004141735144282873,3.9608276932128605,17.621104554426683
1166881.4745263495,0.9093343946749459,1.0,5.5,0.13973300057917418,0.025406000105304395,0.9093343946749459,12.265101963034263,0.025406000105304395,0.9093343946749459,12.265101963034263
36192141.79993565,0.6034344738666764,1.0,2.5,0.25761374907602463,0.10304549963040986,0.6034344738666764,16.48806191308307,0.10304549963040986,0.6034344738666764,16.48806191308307
1382208.9479050802,0.6803172198805696,1.0,11.0,0.030059767152258113,0.0027327061047507377,0.6803172198805696,11.741306149733072,0.0027327061047507377,0.6803172198805696,11.741306149733072
2053667.938557806,0.7155803187719239,1.0,7.0,0.2914000451129894,0.041628577873284195,0.7155803187719239,12.58923125012971,0.041628577873284195,0.7155803187719239,12.58923125012971
37789581.88653788,0.19704585940069455,1.0,6.0,0.4538452394044707,0.07564087323407845,0.19704585940069455,15.655784700680595,0.07564087323407845,0.19704585940069455,15.655784700680595
437066.3016248689,0.049356028342544156,1.0,5.0,2.3800279664995108,0.47600559329990216,0.049356028342544156,11.378413709947191,0.47600559329990216,0.049356028342544156,11.378413709947191
