node,lambda,lambda_std,mu,mu_std,rho,rho_std,L,L_std,Lq,Lq_std,W,W_std,Wq,Wq_std,Jobs_Served,Jobs_Served_std,Jobs_Blocked,Jobs_Blocked_std,Blocking_Prob,Blocking_Prob_std
0,344.75740740740736,0.41100048561644464,900.1277131457474,1.7820757781859151,0.3830104303650778,0.0008807800443386187,0.6210746188915635,0.0016006857781218618,0.23806587998663994,0.0008204189053725179,0.0018014851830361232,3.31954552476789e-06,0.000690534749336091,1.6278234573603579e-06,310281.6666666667,369.90043705480633,12.0,1.7320508075688772,3.867550410312899e-05,5.609397820161514e-06
1,258.35999999999996,0.2169257709988813,699.7963677530937,1.0655899053609157,0.3691939761262331,0.0008576823851889953,0.584903687344504,0.0025113869735099484,0.21570930285967835,0.0018247044693890753,0.002263911418530339,7.913576740783087e-06,0.0008349167077933341,6.46710920745745e-06,232524.0,195.2331938989884,4.333333333333333,4.041451884327381,1.86452551091169e-05,1.7392301860409626e-05
2,173.10481481481483,0.3129436768109635,700.5034146039019,1.2538252550358797,0.2471148939170266,0.00012962458718643454,0.32748810877090007,0.000676506286796938,0.0803737882539289,0.000799744246824661,0.001891850528296321,6.388216934277604e-06,0.0004643096889834571,5.0709976878773084e-06,155794.33333333334,281.64930912987217,0.0,0.0,0.0,0.0
3,96.69555555555554,0.22324486915702826,179.92554961329446,0.6920807139738553,0.5374282048527125,0.00328482109790302,1.1475675816362534,0.019823156818026422,0.6101447013825113,0.016571763073025863,0.01186768586460502,0.0001775871561540806,0.006309821231722193,0.00015678065531601456,87026.0,200.92038224132463,58.0,15.0,0.0006662701984756187,0.0001736519478965143
4,91.69,0.1338923466588947,527.9691285049305,1.0198810563023009,0.17366558613424973,0.0001376825324604516,0.2096080872736946,0.0009365012621394232,0.03594257632635352,0.0008315361727260561,0.002286052903922093,1.3267512885097396e-05,0.00039200935362898506,9.60556699685973e-06,82521.0,120.50311199301038,0.0,0.0,0.0,0.0
5,103.41074074074074,0.1672372947556839,150.22690659967708,0.26043083821510604,0.6883639934003943,0.0007336458495464861,2.0597430967431176,0.0124602847097478,1.3713758774712748,0.011765891021602923,0.019918623456469824,0.000107315352675418,0.013261838444762591,0.00010396281197986834,93069.66666666667,150.51356528012084,621.0,48.12483766206386,0.00662749404343404,0.000499911479836419
6,64.06888888888888,0.05500841686438615,699.0989876159447,0.18865832428644244,0.09164496338587581,0.000101941630360445,0.10080485825410891,0.00012650290623476376,0.009159894868232083,2.4769613117837777e-05,0.0015733819905471025,6.546985122725599e-07,0.00014296932185419293,2.6884245934942035e-07,57662.0,49.50757517794625,0.0,0.0,0.0,0.0
7,59.61333333333334,0.2388966407011036,409.1771939145112,0.4834858783904015,0.1456906897953821,0.0005330231251486796,0.1707769121724998,0.0008684553331741764,0.025086050946210026,0.00038783468535767083,0.002864756745355255,8.06584774978488e-06,0.00042080763915778246,5.736188733338502e-06,53652.0,215.00697663099214,0.0,0.0,0.0,0.0
8,69.60481481481482,0.34257077007575,1582.3198840017747,1.7444890806937625,0.043989094088106605,0.00021171069991941755,0.046044603300547444,0.00021442044576150805,0.002055509212439993,4.044488999772187e-05,0.000661516069200178,1.3168269933832843e-06,2.9532094147885253e-05,6.321971388941174e-07,62644.333333333336,308.3136930681704,0.0,0.0,0.0,0.0
9,255.0785185185185,0.235073756046677,699.2941820116135,1.4230428286369665,0.3647665373045769,0.0007063023067608321,0.575172814842749,0.0013900369788112255,0.21040562248566805,0.0007413180608215061,0.002254894113973054,6.150954825436408e-06,0.0008248699099284158,3.30850210511564e-06,229570.66666666666,211.5663804420069,7.0,1.0,3.048815142184652e-05,4.327697108898247e-06
10,177.25370370370374,0.23951167742179538,550.8103874828847,0.5512627778938826,0.3218053237717908,0.00032425033325516993,0.473370780580127,0.001385187348644877,0.15156476273992847,0.001170567531351002,0.0026705953017326033,4.212695345241489e-06,0.0008550711811394522,5.45456490811671e-06,159528.33333333334,215.56050967961195,0.6666666666666666,1.1547005383792517,4.182744089259759e-06,7.244725277656314e-06
11,171.34814814814817,0.33877472272470505,699.1558335277182,1.1437817919757074,0.24507859340109625,0.00023008714509505947,0.32442440993698424,0.0004253374554878168,0.07934613085353977,0.0005017649920568688,0.0018933796623718509,6.027556320309798e-06,0.0004630757375012982,3.839884395761926e-06,154213.33333333334,304.8972504522376,0.0,0.0,0.0,0.0
12,168.3651851851852,0.13590725474752072,698.6702050407662,2.4861554754242445,0.24098123451479836,0.0007534996527966386,0.31823917077460323,0.00020022143104338362,0.07725797916737391,0.0006378969647563873,0.001890149917323109,2.690616499295565e-06,0.00045885269360109647,3.6826065777073294e-06,151528.66666666666,122.31652927275417,0.0,0.0,0.0,0.0
