\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},\eta=\Pi_{Eff}=\frac{\chi}{\mu},S=\Pi_{Stall}=\ln(\frac{\lambda*W}{K} + 1),O=\Pi_{Occ}=\frac{L}{K}
1554778.6569507953,37.76548268692777,0.3845090265863157,6.0,15.05463061089205,98.21741513381629,12.465088140501567,2.5091051018153414
4676626.433680038,0.37341650235254725,4.170994609082889,5.0,75003749.06244794,0.08952696834931978,13.748650717166166,15000749.812489588
2834914.5995357987,4.277504672407605,0.9065402540332574,11.0,0.11987904432843588,4.718493915054189,12.459630978451267,0.010898094938948716
9240.790349840912,0.36639153256208634,36.43389655635356,1.5,90945454.99922323,0.010056336741127207,8.726079899171445,60630303.33281548
3616368.376811985,1.51311378865857,0.6891740582588631,5.5,1.8293755010736508,2.1955466409767617,13.396234298046927,0.3326137274679365
324778.5956156996,0.4354299946117249,2.4119620540119957,2.0,2.0329563876256715,0.18052937188105503,11.997757962362556,1.0164781938128358
30623.613807054284,1.1782626602869666,2.6953571847901583,5.5,0.3521895858577484,0.437145275934439,8.62495817498096,0.06403447015595426
766967.3370813045,0.5650153182316645,0.5313105723633128,1.5,1002.0745975409274,1.0634369945217357,13.144736341795621,668.0497316939516
5857704.141670409,1.193066366244426,5.3084846285561005,4.0,0.7271684298340585,0.2247470699691822,14.196974621828904,0.18179210745851462
845092.1015758999,2.431409673805626,5.593673150100962,3.0,0.10849220103496501,0.43467138829192065,12.548592157582016,0.036164067011655004
1101938.5132056798,0.611165978220169,22.888042756994995,4.5,0.10360672399646788,0.026702413339095402,12.408508158427047,0.02302371644365953
410952.1880622401,0.32640107510043026,0.9753977273475526,2.0,3.329242817909784,0.3346338277699589,12.23308984213703,1.664621408954892
184984.10197883498,1.7633718389433932,0.0008833573238871236,5.0,0.23008174936964837,1996.215790891794,10.51861428166869,0.04601634987392968
1356731.4795118163,0.2475262724724288,0.27477933624505635,1.5,0.03242362739031739,0.9008183652197105,13.71512503869499,0.021615751593544928
2424587.7143934085,0.3602179500876808,2.1043728973567433,4.5,4.386584344998621,0.1711759120924541,13.197096512424107,0.9747965211108046
374292.3745017424,0.2233081005862713,15.786983775271418,2.5,83345832.01370262,0.014145076967524284,11.91650846836795,33338332.805481046
79387.47609570567,1.9142299652993648,2.164827463500864,8.0,0.21232958991836287,0.8842413529823554,9.202755127807576,0.02654119873979536
0.0046460768714903945,8.631264555265092,0.25396698428529674,5.0,0.7679553923313698,33.98577409404154,0.0009287839209469207,0.15359107846627396
227315.44310015748,0.12284232906558619,1.0008667749143974,2.5,0.08054138524051564,0.12273594462768804,11.41781421501874,0.03221655409620626
5684733.769503574,0.12264187780503139,5.036108782077326,5.5,0.23438550545727418,0.024352507682418107,13.848547728992457,0.042615546446777126
2036124.133512538,0.17222858302997474,1.8473789994936831,11.0,19.18877235061043,0.09322861366139702,12.128668753710855,1.744433850055494
2311022.306979572,0.4018181310409789,0.5168661283277252,3.0,0.07453721003940919,0.7774123878866392,13.554589551190316,0.02484573667980306
369001.3829818213,0.19011947898431938,2.807329458769638,8.0,0.36756109595037123,0.06772253908083971,10.739135809154556,0.045945136993796404
2061949.1481057333,0.4463438489277958,9.863725749546822,5.0,0.40087294287747893,0.04525104004927374,12.929726794265548,0.0801745885754958
3325446.6607447136,0.3283963746463083,2.629447781776828,5.0,3.961271327178641,0.12489176507791194,13.40767814823083,0.7922542654357283
36229.89935907141,0.09855883046194353,4.121650740902859,4.0,1.2644822539824156,0.023912465334302913,9.111456044884786,0.3161205634956039
22020.089705417657,0.27236533431780724,0.5641776548941398,6.0,0.6733293380621771,0.4827651927634618,8.208223456194327,0.11222155634369618
294374.333822557,164.65581785946335,5.607742905180411,2.5,0.0074715221887901,29.362226593404447,11.676325241405102,0.00298860887551604
558880.9690671222,2.6168416191246786,2.8148394237221477,5.0,1.2781524574095817,0.9296592896458546,11.624262827958775,0.25563049148191636
199536.63426575623,0.32478200020417697,3.7149009147349896,4.5,0.36694499677917086,0.08742682716406878,10.699698284077975,0.08154333261759351
4542391.032350945,1.6583424531150606,5.270726063258383,9.0,0.03174315567021816,0.314632639452688,13.131741494486619,0.0035270172966909066
61468.70584103415,0.799584900098691,13.45425404888663,7.0,0.09937733495048318,0.05942989460384527,9.080487199720531,0.01419676213578331
62321.037598940246,0.2607674487448754,22.67237625734925,8.0,0.30108163499809626,0.011501549100321922,8.960741147588971,0.03763520437476203
709523.1193015593,0.25334762298482844,10.493734497303787,2.5,0.0465750211882592,0.02414275137701668,12.55606115200833,0.018630008475303682
0.0014246736520709016,1.4120974188687974,2.8840457397000656,3.0,0.7271684298340588,0.48962379459892075,0.0004747784922094359,0.24238947661135293
0.0004976516640484781,3.445742666803793,0.34157699094515764,3.0,0.10388221064573706,10.08774817434067,0.00016587013080530993,0.03462740354857902
1166570.8397022341,0.5283722507780276,1.4099369969177782,3.0,1.9091059366450298,0.37474883766656714,12.87096937998837,0.6363686455483433
1058223.557093372,1.0087909239010335,3.2144375994079994,2.0,1.5536260140473344,0.31383123569946475,13.178956880077969,0.7768130070236672
924096.0007410974,0.46549663269455566,0.12434025694787995,10.0,0.9147149489100207,3.7437322724021644,11.433996970466778,0.09147149489100208
