node,lambda,lambda_std,mu,mu_std,rho,rho_std,L,L_std,Lq,Lq_std,W,W_std,Wq,Wq_std,Jobs_Served,Jobs_Served_std,Jobs_Blocked,Jobs_Blocked_std,Blocking_Prob,Blocking_Prob_std
0,346.53749999999997,0.8199657005021544,900.3568119168298,5.869571638043969,0.3848988255527286,0.002403998233491565,0.630798586395224,0.0022432960589754826,0.24590835215691617,0.00249947260728819,0.0018205879143225873,3.0543037436842292e-06,0.0007097953930773182,5.772053451687657e-06,27723.0,65.5972560401729,1.3333333333333333,2.3094010767585034,4.818174152904757e-05,8.345322432546176e-05
1,259.4041666666667,0.6643057152647055,700.1788317564561,4.556356602809037,0.37049274545296323,0.0024905137253814673,0.5903252623885903,0.01155275058573482,0.21983251693563008,0.00946957273878457,0.002275652444787028,4.054480647457234e-05,0.0008474055858749225,3.475784273810003e-05,20752.333333333332,53.14445722117499,0.0,0.0,0.0,0.0
2,175.35833333333335,0.24696069187896183,691.082171095115,7.916917181492193,0.2537668128371326,0.002936650822880825,0.34084716227992407,0.0072024288897302256,0.08707934000390943,0.004279478163727113,0.0019436936199027915,4.08634729344239e-05,0.0004965679859780505,2.4383101568008676e-05,14028.666666666666,19.75685535031655,0.0,0.0,0.0,0.0
3,59.48333333333333,1.4129608392780506,178.0660285564804,0.6372212913439194,0.33403701860465745,0.006828346766545461,0.4933426835350414,0.011000949326682044,0.1592867634450526,0.004309772159745633,0.008293768448246556,1.8136638188180843e-05,0.002677737025110477,2.049942205176418e-05,4758.666666666667,113.036867142244,0.0,0.0,0.0,0.0
4,111.35000000000001,0.7313301238155017,532.0483832350407,7.934476450818466,0.20930319943894135,0.001820700550647164,0.26465077018471533,0.0004979210182441788,0.055337490749052476,0.0015220576307541315,0.0023770480366434553,1.941257676400538e-05,0.0004970602591455512,1.1571990179933638e-05,8908.0,58.5064099052403,0.0,0.0,0.0,0.0
5,112.51666666666667,1.3849827014563512,883.0609310601034,10.862505777316088,0.12744173133746414,0.0030961180859314518,0.145542712382244,0.0037518246125284723,0.018100981044777656,0.0011217268575705033,0.0012933810997823138,1.7569320572034908e-05,0.0001608425741871118,8.921738340664768e-06,9001.333333333334,110.79861611650814,0.0,0.0,0.0,0.0
6,78.4375,0.8227241335952167,698.9991659711682,7.571516424994081,0.11222023373433691,0.0014220875648481425,0.12690321176087394,0.0031034299973024004,0.01468297802653383,0.0017168519773458298,0.0016178878607593025,3.5394639434412104e-05,0.00018715977223626216,2.1232838082758102e-05,6275.0,65.81793068761733,0.0,0.0,0.0,0.0
7,73.375,0.8880280119455625,412.70085553001815,1.8832162677831992,0.1777951231916819,0.002355429027140262,0.21769983013646113,0.007107737211658975,0.039904706944780356,0.00484255580681339,0.002966585279412118,6.920337041195422e-05,0.0005434891292844545,6.0709869786141275e-05,5870.0,71.04224095564554,0.0,0.0,0.0,0.0
8,39.237500000000004,0.27585095613392246,206.42475965134562,3.589794599895386,0.19011995150147845,0.0035897744238737104,0.23481822745630218,0.006445637627515089,0.04468323344540531,0.003682686536427538,0.005984779322499772,0.00017229599314915126,0.001139046795171403,9.848432082524743e-05,3139.0,22.06807649071391,0.0,0.0,0.0,0.0
9,259.40000000000003,0.65918984367172,693.4729642040035,2.5815051809972154,0.3740618065212346,0.001338524514306934,0.600048213939067,0.013471393551493027,0.22599653666736566,0.012172456149967733,0.002313233638950827,5.21425942168935e-05,0.0008712433884612943,4.7045262027847995e-05,20752.0,52.73518749374084,1.3333333333333333,2.3094010767585034,6.405329233922624e-05,0.00011094355672360218
10,171.57500000000002,0.3789376597805847,246.8109818601835,2.3855350246707725,0.6952167573046397,0.007727145423166251,2.0996902713815815,0.054552660258466425,1.404467565138387,0.05031530928278781,0.012237349581212581,0.0003204690650092105,0.008185617646361007,0.000296482299064116,13726.0,30.315012782448235,107.66666666666667,25.735837529276825,0.007779515410888269,0.0018419083185758221
11,175.34166666666667,0.25749190925800747,698.5970169964054,6.65151529391044,0.2510079883731664,0.0026677344187260835,0.333024171379849,0.007884095064231452,0.08201344113002201,0.00546156096708697,0.0018990417554355864,4.2434534175816604e-05,0.0004676049517223137,3.0556139202446184e-05,14027.333333333334,20.599352740640526,0.0,0.0,0.0,0.0
12,169.78333333333333,0.517858169128706,711.5441368612351,7.620364768314433,0.23862968326585543,0.0025046701096051536,0.3123209254639185,0.0044888232178408064,0.0736947606228075,0.0020271034536570903,0.0018395174860741622,2.6020712451736405e-05,0.00043403571917981974,1.158585291304537e-05,13582.666666666666,41.42865353029615,0.0,0.0,0.0,0.0
