_idx,dm,_sym,_alias,_fwk,name,description,relevant,_cat,_dims,_units,_min,_max,_mean,_std_units,_std_min,_std_max,_std_mean,_dist_type,_depends,_dist_params
121,11,Wq_{11},Wq_tas_11,CUSTOM,TAS 11 mean time in buffer,Average time for a request to transit the buffer in TAS 11,FALSE,CTRL,T,s,0,0.000869741,0.000869741,s,0,0.000869741,0.000869741,queue_time,"['\chi_{11}' , 'Lq_{11}']",{}
122,12,\lambda_{12},lambda_tas_12,CUSTOM,TAS 12 arrival rate,Arrival rate for TAS 12,TRUE,IN,E*T^-1,req/s,0.1,343.223595,171.6617975,req/s,0.1,343.223595,171.6617975,uniform,[],"{'low': 0.1, 'high': 343.223595}"
123,12,\mu_{12},mu_tas_12,CUSTOM,TAS 12 service rate,Service rate for TAS 12,TRUE,CTRL,E*T^-1,req/s,0.1,1400,700.05,req/s,0.1,1400,700.05,uniform,[],"{'low': 0.1, 'high': 1400}"
124,12,err_{12},err_tas_12,CUSTOM,TAS 12 error probability,Service error probability for TAS 12,FALSE,CTRL,E*T^-1,n.a.,0.00%,0.00%,0.00%,n.a.,0,0,0,constant,[],{'constant': 0}
125,12,\chi_{12},chi_tas_12,CUSTOM,TAS 12 departure rate,Departure rate for TAS 12,TRUE,CTRL,E*T^-1,req/s,0.1,343.223595,171.6617975,req/s,0.1,343.223595,171.6617975,adjusted_rate,"['\mu_{12}' , 'err_{12}']",{}
126,12,c_{12},c_tas_12,CUSTOM,TAS 12 resourses,Number of resources allocated in TAS 12,TRUE,IN,E,req,1,3,2,req,1,3,2,uniform_int,[],"{'low': 1, 'high': 3}"
127,12,K_{12},K_tas_12,CUSTOM,TAS 12 q-capacity,Allocated request capacity in TAS 12 memory buffer,TRUE,CTRL,E,req,1,11,6,req,1,11,6,shifted_uniform_int,['c_{12}'],"{'low': 1, 'high': 11}"
128,12,\delta_{12},delta_tas_12,CUSTOM,TAS 12 req data density,Data density for request in TAS 12 expected data per requests,FALSE,IN,D*E^-1,kB/req,128,2000,1064,bit/req,131072000,2048000000,1089536000,uniform,[],"{'low': 131072000, 'high': 2048000000}"
129,12,L_{12},L_tas_12,CUSTOM,TAS 12 mean processing requests,Average number of request in TAS 12 component,TRUE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{12}' , '\mu_{12}' , 'c_{12}' , 'K_{12}']",{}
130,12,Lq_{12},Lq_tas_12,CUSTOM,TAS 12 mean in memory requests,Average number of request in TAS 12 memory,FALSE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{12}' , '\mu_{12}' , 'c_{12}' , 'K_{12}']",{}
131,12,W_{12},W_tas_12,CUSTOM,TAS 12 mean time to answer,Average time to complete a request in TAS 12,TRUE,OUT,T,s,0,0.001892548,0.001892548,s,0,0.001892548,0.001892548,queue_time,"['\chi_{12}' , 'L_{12}']",{}
132,12,Wq_{12},Wq_tas_12,CUSTOM,TAS 12 mean time in buffer,Average time for a request to transit the buffer in TAS 12,FALSE,CTRL,T,s,0,0.000463977,0.000463977,s,0,0.000463977,0.000463977,queue_time,"['\chi_{12}' , 'Lq_{12}']",{}
133,13,\lambda_{13},lambda_tas_13,CUSTOM,TAS 13 arrival rate,Arrival rate for TAS 13,TRUE,IN,E*T^-1,req/s,0.1,338.1345,169.11725,req/s,0.1,338.1345,169.11725,uniform,[],"{'low': 0.1, 'high': 338.134499999998}"
134,13,\mu_{13},mu_tas_13,CUSTOM,TAS 13 service rate,Service rate for TAS 13,TRUE,CTRL,E*T^-1,req/s,0.1,1400,700.05,req/s,0.1,1400,700.05,uniform,[],"{'low': 0.1, 'high': 1400}"
135,13,err_{13},err_tas_13,CUSTOM,TAS 13 error probability,Service error probability for TAS 13,FALSE,CTRL,E*T^-1,n.a.,0.00%,0.00%,0.00%,n.a.,0,0,0,constant,[],{'constant': 0}
136,13,\chi_{13},chi_tas_13,CUSTOM,TAS 13 departure rate,Departure rate for TAS 13,TRUE,CTRL,E*T^-1,req/s,0.1,338.1345,169.11725,req/s,0.1,338.1345,169.11725,adjusted_rate,"['\mu_{13}' , 'err_{13}']",{}
137,13,c_{13},c_tas_13,CUSTOM,TAS 13 resourses,Number of resources allocated in TAS 13,TRUE,IN,E,req,1,3,2,req,1,3,2,uniform_int,[],"{'low': 1, 'high': 3}"
138,13,K_{13},K_tas_13,CUSTOM,TAS 13 q-capacity,Allocated request capacity in TAS 13 memory buffer,TRUE,CTRL,E,req,1,11,6,req,1,11,6,shifted_uniform_int,['c_{13}'],"{'low': 1, 'high': 11}"
139,13,\delta_{13},delta_tas_13,CUSTOM,TAS 13 req data density,Data density for request in TAS 13 expected data per requests,FALSE,IN,D*E^-1,kB/req,128,2000,1064,bit/req,131072000,2048000000,1089536000,uniform,[],"{'low': 131072000, 'high': 2048000000}"
140,13,L_{13},L_tas_13,CUSTOM,TAS 13 mean processing requests,Average number of request in TAS 13 component,TRUE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{13}' , '\mu_{13}' , 'c_{13}' , 'K_{13}']",{}
141,13,Lq_{13},Lq_tas_13,CUSTOM,TAS 13 mean in memory requests,Average number of request in TAS 13 memory,FALSE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{13}' , '\mu_{13}' , 'c_{13}' , 'K_{13}']",{}
142,13,W_{13},W_tas_13,CUSTOM,TAS 13 mean time to answer,Average time to complete a request in TAS 13,TRUE,OUT,T,s,0,0.001883478,0.001883478,s,0,0.001883478,0.001883478,queue_time,"['\chi_{13}' , 'L_{13}']",{}
143,13,Wq_{13},Wq_tas_13,CUSTOM,TAS 13 mean time in buffer,Average time for a request to transit the buffer in TAS 13,FALSE,CTRL,T,s,0,0.000454906,0.000454906,s,0,0.000454906,0.000454906,queue_time,"['\chi_{13}' , 'Lq_{13}']",{}
