_idx,dm,_sym,_alias,_fwk,name,description,relevant,_cat,_dims,_units,_min,_max,_mean,_std_units,_std_min,_std_max,_std_mean,_dist_type,_depends,_dist_params
61,6,K_{6},K_tas_6,CUSTOM,TAS 6 q-capacity,Allocated request capacity in TAS 6 memory buffer,TRUE,CTRL,E,req,1,11,6,req,1,11,6,shifted_uniform_int,['c_{6}'],"{'low': 1, 'high': 11}"
62,6,\delta_{6},delta_tas_6,CUSTOM,TAS 6 req data density,Data density for request in TAS 6 expected data per requests,FALSE,IN,D*E^-1,kB/req,128,2000,1064,bit/req,131072000,2048000000,1089536000,uniform,[],"{'low': 131072000, 'high': 2048000000}"
63,6,L_{6},L_tas_6,CUSTOM,TAS 6 mean processing requests,Average number of request in TAS 6 component,TRUE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{6}' , '\mu_{6}' , 'c_{6}' , 'K_{6}']",{}
64,6,Lq_{6},Lq_tas_6,CUSTOM,TAS 6 mean in memory requests,Average number of request in TAS 6 memory,FALSE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{6}' , '\mu_{6}' , 'c_{6}' , 'K_{6}']",{}
65,6,W_{6},W_tas_6,CUSTOM,TAS 6 mean time to answer,Average time to complete a request in TAS 6,TRUE,OUT,T,s,0,0.021801263,0.021801263,s,0,0.021801263,0.021801263,queue_time,"['\chi_{6}' , 'L_{6}']",{}
66,6,Wq_{6},Wq_tas_6,CUSTOM,TAS 6 mean time in buffer,Average time for a request to transit the buffer in TAS 6,FALSE,CTRL,T,s,0,0.015134596,0.015134596,s,0,0.015134596,0.015134596,queue_time,"['\chi_{6}' , 'Lq_{6}']",{}
67,7,\lambda_{7},lambda_tas_7,CUSTOM,TAS 7 arrival rate,Arrival rate for TAS 7,TRUE,IN,E*T^-1,req/s,0.1,128.5481629,64.27408146,req/s,0.1,128.5481629,64.27408146,uniform,[],"{'low': 0.1, 'high': 128.548162921348}"
68,7,\mu_{7},mu_tas_7,CUSTOM,TAS 7 service rate,Service rate for TAS 7,TRUE,CTRL,E*T^-1,req/s,0.1,1400,700.05,req/s,0.1,1400,700.05,uniform,[],"{'low': 0.1, 'high': 1400}"
69,7,err_{7},err_tas_7,CUSTOM,TAS 7 error probability,Service error probability for TAS 7,FALSE,CTRL,E*T^-1,n.a.,0.11,0.11,0.11,n.a.,0.11,0.11,0.11,constant,[],{'constant': 0.11}
70,7,\chi_{7},chi_tas_7,CUSTOM,TAS 7 departure rate,Departure rate for TAS 7,TRUE,CTRL,E*T^-1,req/s,0.1,128.5481629,64.32408146,req/s,0.1,128.5481629,64.32408146,adjusted_rate,"['\mu_{7}' , 'err_{7}']",{}
71,7,c_{7},c_tas_7,CUSTOM,TAS 7 resourses,Number of resources allocated in TAS 7,TRUE,IN,E,req,1,2,1.5,req,1,2,1.5,uniform_int,[],"{'low': 1, 'high': 2}"
72,7,K_{7},K_tas_7,CUSTOM,TAS 7 q-capacity,Allocated request capacity in TAS 7 memory buffer,TRUE,CTRL,E,req,1,11,6,req,1,11,6,shifted_uniform_int,['c_{7}'],"{'low': 1, 'high': 11}"
73,7,\delta_{7},delta_tas_7,CUSTOM,TAS 7 req data density,Data density for request in TAS 7 expected data per requests,FALSE,IN,D*E^-1,kB/req,128,2000,1064,bit/req,131072000,2048000000,1089536000,uniform,[],"{'low': 131072000, 'high': 2048000000}"
74,7,L_{7},L_tas_7,CUSTOM,TAS 7 mean processing requests,Average number of request in TAS 7 component,TRUE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{7}' , '\mu_{7}' , 'c_{7}' , 'K_{7}']",{}
75,7,Lq_{7},Lq_tas_7,CUSTOM,TAS 7 mean in memory requests,Average number of request in TAS 7 memory,FALSE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{7}' , '\mu_{7}' , 'c_{7}' , 'K_{7}']",{}
76,7,W_{7},W_tas_7,CUSTOM,TAS 7 mean time to answer,Average time to complete a request in TAS 7,TRUE,OUT,T,s,0,0.001573005,0.001573005,s,0,0.001573005,0.001573005,queue_time,"['\chi_{7}' , 'L_{7}']",{}
77,7,Wq_{7},Wq_tas_7,CUSTOM,TAS 7 mean time in buffer,Average time for a request to transit the buffer in TAS 7,FALSE,CTRL,T,s,0,0.000144433,0.000144433,s,0,0.000144433,0.000144433,queue_time,"['\chi_{7}' , 'Lq_{7}']",{}
78,8,\lambda_{8},lambda_tas_8,CUSTOM,TAS 8 arrival rate,Arrival rate for TAS 8,TRUE,IN,E*T^-1,req/s,0.1,119.1748594,59.63742969,req/s,0.1,119.1748594,59.63742969,uniform,[],"{'low': 0.1, 'high': 119.174859375}"
79,8,\mu_{8},mu_tas_8,CUSTOM,TAS 8 service rate,Service rate for TAS 8,TRUE,CTRL,E*T^-1,req/s,0.1,820,410.05,req/s,0.1,820,410.05,uniform,[],"{'low': 0.1, 'high': 820}"
80,8,err_{8},err_tas_8,CUSTOM,TAS 8 error probability,Service error probability for TAS 8,FALSE,CTRL,E*T^-1,n.a.,4.00%,4.00%,4.00%,n.a.,0.04,0.04,0.04,constant,[],{'constant': 0.04}
81,8,\chi_{8},chi_tas_8,CUSTOM,TAS 8 departure rate,Departure rate for TAS 8,TRUE,CTRL,E*T^-1,req/s,0.1,119.1748594,59.63742969,req/s,0.1,119.1748594,59.63742969,adjusted_rate,"['\mu_{8}' , 'err_{8}']",{}
82,8,c_{8},c_tas_8,CUSTOM,TAS 8 resourses,Number of resources allocated in TAS 8,TRUE,IN,E,req,1,2,1.5,req,1,2,1.5,uniform_int,[],"{'low': 1, 'high': 2}"
83,8,K_{8},K_tas_8,CUSTOM,TAS 8 q-capacity,Allocated request capacity in TAS 8 memory buffer,TRUE,CTRL,E,req,1,11,6,req,1,11,6,shifted_uniform_int,['c_{8}'],"{'low': 1, 'high': 11}"
84,8,\delta_{8},delta_tas_8,CUSTOM,TAS 8 req data density,Data density for request in TAS 8 expected data per requests,FALSE,IN,D*E^-1,kB/req,128,2000,1064,bit/req,131072000,2048000000,1089536000,uniform,[],"{'low': 131072000, 'high': 2048000000}"
85,8,L_{8},L_tas_8,CUSTOM,TAS 8 mean processing requests,Average number of request in TAS 8 component,TRUE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{8}' , '\mu_{8}' , 'c_{8}' , 'K_{8}']",{}
86,8,Lq_{8},Lq_tas_8,CUSTOM,TAS 8 mean in memory requests,Average number of request in TAS 8 memory,FALSE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{8}' , '\mu_{8}' , 'c_{8}' , 'K_{8}']",{}
87,8,W_{8},W_tas_8,CUSTOM,TAS 8 mean time to answer,Average time to complete a request in TAS 8,TRUE,OUT,T,s,0,0.002853779,0.002853779,s,0,0.002853779,0.002853779,queue_time,"['\chi_{8}' , 'L_{8}']",{}
88,8,Wq_{8},Wq_tas_8,CUSTOM,TAS 8 mean time in buffer,Average time for a request to transit the buffer in TAS 8,FALSE,CTRL,T,s,0,0.000414755,0.000414755,s,0,0.000414755,0.000414755,queue_time,"['\chi_{8}' , 'Lq_{8}']",{}
89,9,\lambda_{9},lambda_tas_9,CUSTOM,TAS 9 arrival rate,Arrival rate for TAS 9,TRUE,IN,E*T^-1,req/s,0.1,77.43333333,38.76666667,req/s,0.1,77.43333333,38.76666667,uniform,[],"{'low': 0.1, 'high': 77.4333333333332}"
90,9,\mu_{9},mu_tas_9,CUSTOM,TAS 9 service rate,Service rate for TAS 9,TRUE,CTRL,E*T^-1,req/s,0.1,420,210.05,req/s,0.1,420,210.05,uniform,[],"{'low': 0.1, 'high': 420}"
91,9,err_{9},err_tas_9,CUSTOM,TAS 9 error probability,Service error probability for TAS 9,FALSE,CTRL,E*T^-1,n.a.,10.00%,10.00%,10.00%,n.a.,0.1,0.1,0.1,constant,[],{'constant': 0.1}
92,9,\chi_{9},chi_tas_9,CUSTOM,TAS 9 departure rate,Departure rate for TAS 9,TRUE,CTRL,E*T^-1,req/s,0.1,77.43333333,38.76666667,req/s,0.1,77.43333333,38.76666667,adjusted_rate,"['\mu_{9}' , 'err_{9}']",{}
93,9,c_{9},c_tas_9,CUSTOM,TAS 9 resourses,Number of resources allocated in TAS 9,TRUE,IN,E,req,1,3,2,req,1,3,2,uniform_int,[],"{'low': 1, 'high': 3}"
94,9,K_{9},K_tas_9,CUSTOM,TAS 9 q-capacity,Allocated request capacity in TAS 9 memory buffer,TRUE,CTRL,E,req,1,11,6,req,1,11,6,shifted_uniform_int,['c_{9}'],"{'low': 1, 'high': 11}"
95,9,\delta_{9},delta_tas_9,CUSTOM,TAS 9 req data density,Data density for request in TAS 9 expected data per requests,FALSE,IN,D*E^-1,kB/req,128,2000,1064,bit/req,131072000,2048000000,1089536000,uniform,[],"{'low': 131072000, 'high': 2048000000}"
