0,0.0,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.0,10,2.707003206151421,0,5.819999999999999,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
20,0.0,10,2.748032068302564,0,4.92,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
30,0.0,10,2.3574670764253822,0,4.49,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
40,0.0,21,2.928913406173524,0,5.734999999999999,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
50,0.0,21,2.412796799284115,0,5.52,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
60,0.0,21,2.4239260588408795,0,4.79,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
70,0.0,21,2.8549419859598855,0,5.734999999999999,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
80,0.0,21,2.0565299086505546,0,2.9450000000000003,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
90,0.0,21,2.258109440129192,0,4.49,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
100,0.0,21,2.789901769212156,0,5.52,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
