0,0.0,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.0,10,2.7221233211952494,0,4.92,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
20,0.0,10,2.354192430603143,0,4.404999999999999,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
30,0.0,10,2.8066018911718857,0,6.334999999999999,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
40,0.0,21,2.869780237323721,0,5.22,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
50,0.0,21,2.7204240443825256,0,4.705,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
60,0.0,21,2.7449530870784655,0,5.005,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
70,0.0,21,2.856276283647458,0,6.034999999999999,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
80,0.0,21,2.750567069282988,0,5.049999999999999,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
90,0.0,21,2.388405247600167,0,4.404999999999999,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
100,0.0,21,3.003973979289003,0,6.55,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
